# 2026 世界杯中国体彩 SP 手工复盘模板。
# 本文件不是官方中国体彩数据，默认 SP 和赛果留空，不会产生模拟买入或盈亏。
# 请从合法渠道查看中国体彩竞彩足球胜平负 SP 后，手动填入 sp_home/sp_draw/sp_away。
# actual 留空表示待开奖；H/D/A 分别表示 90 分钟（含伤停补时，不含加时赛/点球）主胜/平局/客胜。
# stage 只用于展示小组赛、1/16、1/8、1/4、半决赛、三四名决赛、决赛等赛段，不参与模型训练。
# TBD 表示赛程日期或淘汰赛对阵尚待官方确认；确认后请手动替换为项目识别的英文球队名。
# 公开SP来源：https://trade.500.com/jczq/；抓取时间：2026-07-06 03:57:37；请赛前/赛后自行复核官方渠道。
date,match_id,stage,home,away,neutral,sp_home,sp_draw,sp_away,actual
2026-06-29,,小组赛（公开SP）,South Africa,Canada,true,5.80,3.45,1.50,A
2026-06-30,,小组赛（公开SP）,Brazil,Japan,true,1.52,3.72,4.95,H
2026-06-30,,小组赛（公开SP）,Germany,Paraguay,true,1.22,5.00,9.10,D
2026-06-30,,小组赛（公开SP）,Netherlands,Morocco,true,2.00,2.92,3.48,D
2026-07-01,,1/8决赛（公开SP）,France,Sweden,true,1.16,5.80,10.50,H
2026-07-01,,1/8决赛（公开SP）,Ivory Coast,Norway,true,3.60,3.38,1.80,A
2026-07-01,,1/8决赛（公开SP）,Mexico,Ecuador,true,2.02,2.60,4.00,H
2026-07-02,,1/8决赛（公开SP）,Belgium,Senegal,true,1.97,2.98,3.49,D
2026-07-02,,1/8决赛（公开SP）,United States,Bosnia and Herzegovina,true,1.22,4.91,9.40,H
2026-07-03,,1/8决赛（公开SP）,Portugal,Croatia,true,1.57,3.32,5.22,H
2026-07-03,,1/8决赛（公开SP）,Spain,Austria,true,1.18,5.30,10.75,H
2026-07-03,,1/8决赛（公开SP）,Switzerland,Algeria,true,1.74,3.16,4.20,H
2026-07-04,,1/8决赛（公开SP）,Australia,Egypt,true,3.20,2.70,2.24,D
2026-07-04,,1/8决赛（公开SP）,Colombia,Ghana,true,1.30,4.25,8.00,H
2026-07-05,R16-1,1/8决赛（公开SP）,Canada,Morocco,true,5.78,3.62,1.47,A
2026-07-06,R16-2,1/8决赛（公开SP）,Brazil,Norway,true,1.55,3.68,4.70,A
2026-07-06,R16-3,1/8决赛（公开SP）,Mexico,England,true,3.20,2.86,2.14,A
2026-07-07,R16-4,1/8决赛（公开SP）,Portugal,Spain,true,3.83,3.30,1.77,A
2026-07-07,R16-5,1/8决赛（公开SP）,United States,Belgium,true,2.44,3.26,2.42,A
2026-07-08,R16-6,1/8决赛（公开SP）,Argentina,Egypt,true,1.23,4.65,10.00,H
2026-07-08,R16-7,1/8决赛（公开SP）,Switzerland,Colombia,true,2.91,2.82,2.32,D
TBD,,小组赛 A组 第1轮,Mexico,South Africa,false,,,,
TBD,,小组赛 A组 第1轮,South Korea,Czech Republic,true,,,,
TBD,,小组赛 A组 第2轮,Mexico,South Korea,false,,,,
TBD,,小组赛 A组 第2轮,South Africa,Czech Republic,true,,,,
TBD,,小组赛 A组 第3轮,Mexico,Czech Republic,false,,,,
TBD,,小组赛 A组 第3轮,South Africa,South Korea,true,,,,
TBD,,小组赛 B组 第1轮,Canada,Bosnia and Herzegovina,false,,,,
TBD,,小组赛 B组 第1轮,Qatar,Switzerland,true,,,,
TBD,,小组赛 B组 第2轮,Canada,Qatar,false,,,,
TBD,,小组赛 B组 第2轮,Bosnia and Herzegovina,Switzerland,true,,,,
TBD,,小组赛 B组 第3轮,Canada,Switzerland,false,,,,
TBD,,小组赛 B组 第3轮,Bosnia and Herzegovina,Qatar,true,,,,
TBD,,小组赛 C组 第1轮,Brazil,Morocco,true,,,,
TBD,,小组赛 C组 第1轮,Haiti,Scotland,true,,,,
TBD,,小组赛 C组 第2轮,Brazil,Haiti,true,,,,
TBD,,小组赛 C组 第2轮,Morocco,Scotland,true,,,,
TBD,,小组赛 C组 第3轮,Brazil,Scotland,true,,,,
TBD,,小组赛 C组 第3轮,Morocco,Haiti,true,,,,
TBD,,小组赛 D组 第1轮,United States,Paraguay,false,,,,
TBD,,小组赛 D组 第1轮,Australia,Turkey,true,,,,
TBD,,小组赛 D组 第2轮,United States,Australia,false,,,,
TBD,,小组赛 D组 第2轮,Paraguay,Turkey,true,,,,
TBD,,小组赛 D组 第3轮,United States,Turkey,false,,,,
TBD,,小组赛 D组 第3轮,Paraguay,Australia,true,,,,
TBD,,小组赛 E组 第1轮,Germany,Curaçao,true,,,,
TBD,,小组赛 E组 第1轮,Ivory Coast,Ecuador,true,,,,
TBD,,小组赛 E组 第2轮,Germany,Ivory Coast,true,,,,
TBD,,小组赛 E组 第2轮,Curaçao,Ecuador,true,,,,
TBD,,小组赛 E组 第3轮,Germany,Ecuador,true,,,,
TBD,,小组赛 E组 第3轮,Curaçao,Ivory Coast,true,,,,
TBD,,小组赛 F组 第1轮,Netherlands,Japan,true,,,,
TBD,,小组赛 F组 第1轮,Sweden,Tunisia,true,,,,
TBD,,小组赛 F组 第2轮,Netherlands,Sweden,true,,,,
TBD,,小组赛 F组 第2轮,Japan,Tunisia,true,,,,
TBD,,小组赛 F组 第3轮,Netherlands,Tunisia,true,,,,
TBD,,小组赛 F组 第3轮,Japan,Sweden,true,,,,
TBD,,小组赛 G组 第1轮,Belgium,Egypt,true,,,,
TBD,,小组赛 G组 第1轮,Iran,New Zealand,true,,,,
TBD,,小组赛 G组 第2轮,Belgium,Iran,true,,,,
TBD,,小组赛 G组 第2轮,Egypt,New Zealand,true,,,,
TBD,,小组赛 G组 第3轮,Belgium,New Zealand,true,,,,
TBD,,小组赛 G组 第3轮,Egypt,Iran,true,,,,
TBD,,小组赛 H组 第1轮,Spain,Cape Verde,true,,,,
TBD,,小组赛 H组 第1轮,Saudi Arabia,Uruguay,true,,,,
TBD,,小组赛 H组 第2轮,Spain,Saudi Arabia,true,,,,
TBD,,小组赛 H组 第2轮,Cape Verde,Uruguay,true,,,,
TBD,,小组赛 H组 第3轮,Spain,Uruguay,true,,,,
TBD,,小组赛 H组 第3轮,Cape Verde,Saudi Arabia,true,,,,
TBD,,小组赛 I组 第1轮,France,Senegal,true,,,,
TBD,,小组赛 I组 第1轮,Iraq,Norway,true,,,,
TBD,,小组赛 I组 第2轮,France,Iraq,true,,,,
TBD,,小组赛 I组 第2轮,Senegal,Norway,true,,,,
TBD,,小组赛 I组 第3轮,France,Norway,true,,,,
TBD,,小组赛 I组 第3轮,Senegal,Iraq,true,,,,
TBD,,小组赛 J组 第1轮,Argentina,Algeria,true,,,,
TBD,,小组赛 J组 第1轮,Austria,Jordan,true,,,,
TBD,,小组赛 J组 第2轮,Argentina,Austria,true,,,,
TBD,,小组赛 J组 第2轮,Algeria,Jordan,true,,,,
TBD,,小组赛 J组 第3轮,Argentina,Jordan,true,,,,
TBD,,小组赛 J组 第3轮,Algeria,Austria,true,,,,
TBD,,小组赛 K组 第1轮,Portugal,DR Congo,true,,,,
TBD,,小组赛 K组 第1轮,Uzbekistan,Colombia,true,,,,
TBD,,小组赛 K组 第2轮,Portugal,Uzbekistan,true,,,,
TBD,,小组赛 K组 第2轮,DR Congo,Colombia,true,,,,
TBD,,小组赛 K组 第3轮,Portugal,Colombia,true,,,,
TBD,,小组赛 K组 第3轮,DR Congo,Uzbekistan,true,,,,
TBD,,小组赛 L组 第1轮,England,Croatia,true,,,,
TBD,,小组赛 L组 第1轮,Ghana,Panama,true,,,,
TBD,,小组赛 L组 第2轮,England,Ghana,true,,,,
TBD,,小组赛 L组 第2轮,Croatia,Panama,true,,,,
TBD,,小组赛 L组 第3轮,England,Panama,true,,,,
TBD,,小组赛 L组 第3轮,Croatia,Ghana,true,,,,
TBD,,1/16决赛（32强） 第1场,TBD,TBD,true,,,,
TBD,,1/16决赛（32强） 第2场,TBD,TBD,true,,,,
TBD,,1/16决赛（32强） 第3场,TBD,TBD,true,,,,
TBD,,1/16决赛（32强） 第4场,TBD,TBD,true,,,,
TBD,,1/16决赛（32强） 第5场,TBD,TBD,true,,,,
TBD,,1/16决赛（32强） 第6场,TBD,TBD,true,,,,
TBD,,1/16决赛（32强） 第7场,TBD,TBD,true,,,,
TBD,,1/16决赛（32强） 第8场,TBD,TBD,true,,,,
TBD,,1/16决赛（32强） 第9场,TBD,TBD,true,,,,
TBD,,1/16决赛（32强） 第10场,TBD,TBD,true,,,,
TBD,,1/16决赛（32强） 第11场,TBD,TBD,true,,,,
TBD,,1/16决赛（32强） 第12场,TBD,TBD,true,,,,
TBD,,1/16决赛（32强） 第13场,TBD,TBD,true,,,,
TBD,,1/16决赛（32强） 第14场,TBD,TBD,true,,,,
TBD,,1/16决赛（32强） 第15场,TBD,TBD,true,,,,
TBD,,1/16决赛（32强） 第16场,TBD,TBD,true,,,,
TBD,,1/8决赛 第1场,TBD,TBD,true,,,,
TBD,,1/8决赛 第2场,TBD,TBD,true,,,,
TBD,,1/8决赛 第3场,TBD,TBD,true,,,,
TBD,,1/8决赛 第4场,TBD,TBD,true,,,,
TBD,,1/8决赛 第5场,TBD,TBD,true,,,,
TBD,,1/8决赛 第6场,TBD,TBD,true,,,,
TBD,,1/8决赛 第7场,TBD,TBD,true,,,,
TBD,R16-8,1/8决赛 第8场,TBD,TBD,true,,,,
2026-07-09,QF-1,1/4决赛（公开SP）,France,Morocco,true,1.38,3.91,6.70,
2026-07-10,QF-2,1/4决赛（公开SP）,Spain,Belgium,true,1.47,3.80,5.40,
TBD,QF-3,1/4决赛 第3场,Norway,England,true,,,,
TBD,QF-4,1/4决赛 第4场,Argentina,Switzerland,true,,,,
TBD,SF-1,半决赛 第1场,TBD,TBD,true,,,,
TBD,SF-2,半决赛 第2场,TBD,TBD,true,,,,
TBD,THIRD,三四名决赛,TBD,TBD,true,,,,
TBD,FINAL,决赛,TBD,TBD,true,,,,
